scope,itemId,tcg,name,edition,language,variant,quantity,unitPurchaseValue,status,source,pricingMode,marketUnit,marketTotal,deltaTotal,recoveryRate,matchConfidence,matchReason,productId,productName,productKind,categoryName,productUrl,listingLanguage,listingCondition,liveSampleSize,liveValidListings,liveRawListings,liveLow,scrapeSampleSize,scrapeValidListings,scrapeRawListings,scrapeLow,scrapeProductUrl,scrapeStatus,scrapeReason,fallbackPriceGuideUnit,fallbackUsed,fallbackReason,scryfallResolverStatus,scryfallCardmarketId,scryfallSet,scryfallCollectorNumber,riftboundImageStatus,riftboundImageCode,riftboundExpectedExpansions,riftboundVersionTarget,riftboundImageHeuristic,candidate1Id,candidate1Name,candidate1Score,candidate1Price,candidate1FoilPrice,candidate1Url,candidate2Id,candidate2Name,candidate2Score,candidate2Price,candidate2FoilPrice,candidate2Url,candidate3Id,candidate3Name,candidate3Score,candidate3Price,candidate3FoilPrice,candidate3Url,candidate4Id,candidate4Name,candidate4Score,candidate4Price,candidate4FoilPrice,candidate4Url,candidate5Id,candidate5Name,candidate5Score,candidate5Price,candidate5FoilPrice,candidate5Url
collection,stock-magic-the-gathering-city-of-traitors-exodus-japones-nonfoil,Magic The Gathering,City of Traitors,Exodus,Japonés,Non-foil,4.0,323.49,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,430.76,1723.04,429.08,133.16,102.0,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,9371,City of Traitors,single,Magic Single,https://www.cardmarket.com/en/Magic/Products?idProduct=9371&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,japanese,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products?idProduct=9371&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,430.76,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,resolved,9371,exo,143,,,,,,9371,City of Traitors,102.0,430.76,430.76,https://www.cardmarket.com/en/Magic/Products?idProduct=9371&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,,,,,,,,,,,,,,,,,,,,,,,,
collection,stock-magic-the-gathering-serra-s-sanctum-urza-s-saga-japones-nonfoil,Magic The Gathering,Serra's Sanctum,Urza's Saga,Japonés,Non-foil,3.0,343.33,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,422.04,1266.12,236.13,122.93,102.0,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,10532,Serra's Sanctum,single,Magic Single,https://www.cardmarket.com/en/Magic/Products?idProduct=10532&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,japanese,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products?idProduct=10532&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,422.04,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,resolved,10532,usg,325,,,,,,10532,Serra's Sanctum,102.0,422.04,422.04,https://www.cardmarket.com/en/Magic/Products?idProduct=10532&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,,,,,,,,,,,,,,,,,,,,,,,,
collection,stock-magic-the-gathering-collector-booster-box-the-hobbit-the-hobbit-ingles-nonfoil,Magic The Gathering,Collector Booster Box The Hobbit,The Hobbit,Inglés,Non-foil,2.0,449.95,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,584.32,1168.64,268.74,129.86,96.16,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,885552,The Hobbit Collector Booster Box,nonsingle,Magic Display,https://www.cardmarket.com/en/Magic/Products/Search?searchString=The+Hobbit+Collector+Booster+Box,english,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products/Search?searchString=The+Hobbit+Collector+Booster+Box,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,584.32,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,,,,,,,,,,885552,The Hobbit Collector Booster Box,96.16,584.32,584.32,https://www.cardmarket.com/en/Magic/Products/Search?searchString=The+Hobbit+Collector+Booster+Box,885550,The Hobbit Collector Booster,81.12,50.94,50.94,https://www.cardmarket.com/en/Magic/Products/Search?searchString=The+Hobbit+Collector+Booster,885551,The Hobbit Play Booster Box,81.12,149.92,149.92,https://www.cardmarket.com/en/Magic/Products/Search?searchString=The+Hobbit+Play+Booster+Box,885578,The Hobbit Box Topper Booster,75.12,,,https://www.cardmarket.com/en/Magic/Products/Search?searchString=The+Hobbit+Box+Topper+Booster,527325,Kaldheim Collector Booster Box,74.34,289.4,289.4,https://www.cardmarket.com/en/Magic/Products/Search?searchString=Kaldheim+Collector+Booster+Box
collection,stock-magic-the-gathering-underground-sea-revised-ingles-nonfoil,Magic The Gathering,Underground Sea,Revised,Inglés,Non-foil,1.0,600.0,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,739.21,739.21,139.21,123.2,102.0,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,5833,Underground Sea,single,Magic Single,https://www.cardmarket.com/en/Magic/Products?idProduct=5833&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,english,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products?idProduct=5833&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,739.21,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,resolved,5833,3ed,290,,,,,,5833,Underground Sea,102.0,739.21,739.21,https://www.cardmarket.com/en/Magic/Products?idProduct=5833&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,,,,,,,,,,,,,,,,,,,,,,,,
collection,stock-riftbound-unleashed-booster-box-case-6x-unleashed-ingles-foil,Riftbound,Unleashed Booster Box Case (6x),Unleashed,Inglés,Foil,1.0,590.0,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,616.8,616.8,26.8,104.54,142.19,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,879290,Unleashed Case (6x Booster Box),nonsingle,Riftbound Display,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Unleashed+Case+%286x+Booster+Box%29,english,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Unleashed+Case+%286x+Booster+Box%29,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,616.8,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,,,,,resolved,,6491,base,False,879290,Unleashed Case (6x Booster Box),142.19,616.8,616.8,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Unleashed+Case+%286x+Booster+Box%29,886611,Unleashed: Uncommon Set,125.58,6.69,6.69,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Unleashed%3A+Uncommon+Set,872949,Unleashed Booster,120.77,4.88,4.88,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Unleashed+Booster,872923,Unleashed Booster Box,118.78,103.26,103.26,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Unleashed+Booster+Box,884446,"Unleashed Booster Box (Chinese, Slim)",117.78,20.13,20.13,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Unleashed+Booster+Box+%28Chinese%2C+Slim%29
collection,stock-magic-the-gathering-scrubland-revised-ingles-nonfoil,Magic The Gathering,Scrubland,Revised,Inglés,Non-foil,2.0,212.5,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,254.88,509.76,84.76,119.94,102.0,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,5826,Scrubland,single,Magic Single,https://www.cardmarket.com/en/Magic/Products?idProduct=5826&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,english,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products?idProduct=5826&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,254.88,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,resolved,5826,3ed,286,,,,,,5826,Scrubland,102.0,254.88,254.88,https://www.cardmarket.com/en/Magic/Products?idProduct=5826&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,,,,,,,,,,,,,,,,,,,,,,,,
collection,stock-magic-the-gathering-vivi-ornitier-magic-the-gathering-final-fantasy-extras-ingles-nonfoil,Magic The Gathering,Vivi Ornitier,Magic: The Gathering - FINAL FANTASY: Extras,Inglés,Non-foil,4.0,81.2,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,61.72,246.88,-77.92,76.01,102.0,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,825801,Vivi Ornitier,single,Magic Single,https://www.cardmarket.com/en/Magic/Products?idProduct=825801&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,english,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products?idProduct=825801&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,61.72,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,resolved,825801,fin,321,,,,,,825801,Vivi Ornitier,102.0,61.72,61.72,https://www.cardmarket.com/en/Magic/Products?idProduct=825801&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,,,,,,,,,,,,,,,,,,,,,,,,
collection,stock-magic-the-gathering-chrome-mox-secret-lair-drop-series-30th-anniversary-countdown-ingles-nonfoil,Magic The Gathering,Chrome Mox,Secret Lair Drop Series: 30th Anniversary Countdown,Inglés,Non-foil,4.0,78.87,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,98.86,395.44,79.96,125.35,100.0,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,484414,Chrome Mox,single,Magic Single,https://www.cardmarket.com/en/Magic/Products?idProduct=484414&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,english,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products?idProduct=484414&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,98.86,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,resolved,484414,2xm,240,,,,,,484414,Chrome Mox,100.0,98.86,98.86,https://www.cardmarket.com/en/Magic/Products?idProduct=484414&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,,,,,,,,,,,,,,,,,,,,,,,,
collection,stock-magic-the-gathering-mox-opal-scars-of-mirrodin-japones-nonfoil,Magic The Gathering,Mox Opal,Scars of Mirrodin,Japonés,Non-foil,4.0,74.18,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,158.77,635.08,338.36,214.03,102.0,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,242541,Mox Opal,single,Magic Single,https://www.cardmarket.com/en/Magic/Products?idProduct=242541&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,japanese,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products?idProduct=242541&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,158.77,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,resolved,242541,som,179,,,,,,242541,Mox Opal,102.0,158.77,158.77,https://www.cardmarket.com/en/Magic/Products?idProduct=242541&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,,,,,,,,,,,,,,,,,,,,,,,,
collection,stock-magic-the-gathering-wooded-foothills-onslaught-ingles-nonfoil,Magic The Gathering,Wooded Foothills,Onslaught,Inglés,Non-foil,4.0,67.73,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,75.28,301.12,30.2,111.15,102.0,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,1961,Wooded Foothills,single,Magic Single,https://www.cardmarket.com/en/Magic/Products?idProduct=1961&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,english,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products?idProduct=1961&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,75.28,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,resolved,1961,ons,330,,,,,,1961,Wooded Foothills,102.0,75.28,75.28,https://www.cardmarket.com/en/Magic/Products?idProduct=1961&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,,,,,,,,,,,,,,,,,,,,,,,,
