sourceRow,id,tcg,name,edition,status,source,url,method,note
866,stock-magic-the-gathering-city-of-traitors-exodus-japones-nonfoil,Magic The Gathering,City of Traitors,Exodus,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=City+of+Traitors&format=image&version=normal&set=exo,named_exact_image_endpoint,
890,stock-magic-the-gathering-serra-s-sanctum-urza-s-saga-japones-nonfoil,Magic The Gathering,Serra's Sanctum,Urza's Saga,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Serra%27s+Sanctum&format=image&version=normal&set=usg,named_exact_image_endpoint,
573,stock-magic-the-gathering-collector-booster-box-the-hobbit-the-hobbit-ingles-nonfoil,Magic The Gathering,Collector Booster Box The Hobbit,The Hobbit,resolved,wizards_product_cdn,https://media.wizards.com/2026/images/daily/8Bmxd4HQE3/en_GG8zCyKg86.webp,manual_product_mapping,Wizards product image used for the referenced Collector Booster Box entry.
912,stock-magic-the-gathering-underground-sea-revised-ingles-nonfoil,Magic The Gathering,Underground Sea,Revised,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Underground+Sea&format=image&version=normal&set=3ed,named_exact_image_endpoint,
572,stock-riftbound-unleashed-booster-box-case-6x-unleashed-ingles-nonfoil,Riftbound,Unleashed Booster Box Case (6x),Unleashed,resolved,riot_product_cdn,https://cdn.sanity.io/images/dsfx7636/consumer_products_live/46c776a96cc14227a260d24489f10b4090cd2cd9-2560x2560.png?accountingTag=consumer_products,manual_product_mapping,Official Riot product image for the Unleashed Booster Display. Used also for case rows.
1486,stock-magic-the-gathering-scrubland-revised-ingles-nonfoil,Magic The Gathering,Scrubland,Revised,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Scrubland&format=image&version=normal&set=3ed,named_exact_image_endpoint,
1105,stock-magic-the-gathering-vivi-ornitier-v-1-magic-the-gathering-final-fantasy-extras-ingles-nonfoil,Magic The Gathering,Vivi Ornitier (V.1),Magic: The Gathering - FINAL FANTASY: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Vivi+Ornitier&format=image&version=normal&set=fin,named_exact_image_endpoint,
913,stock-magic-the-gathering-chrome-mox-secret-lair-drop-series-30th-anniversary-countdown-ingles-nonfoil,Magic The Gathering,Chrome Mox,Secret Lair Drop Series: 30th Anniversary Countdown,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Chrome+Mox&format=image&version=normal,named_exact_image_endpoint,
1276,stock-magic-the-gathering-mox-opal-scars-of-mirrodin-japones-nonfoil,Magic The Gathering,Mox Opal,Scars of Mirrodin,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Mox+Opal&format=image&version=normal&set=som,named_exact_image_endpoint,
2066,stock-magic-the-gathering-wooded-foothills-onslaught-ingles-nonfoil,Magic The Gathering,Wooded Foothills,Onslaught,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Wooded+Foothills&format=image&version=normal&set=ons,named_exact_image_endpoint,
844,stock-magic-the-gathering-badgermole-cub-magic-the-gathering-avatar-the-last-airbender-ingles-nonfoil,Magic The Gathering,Badgermole Cub,Magic: The Gathering | Avatar: The Last Airbender,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Badgermole+Cub&format=image&version=normal,named_exact_image_endpoint,
2072,stock-magic-the-gathering-flooded-strand-onslaught-ingles-nonfoil,Magic The Gathering,Flooded Strand,Onslaught,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Flooded+Strand&format=image&version=normal&set=ons,named_exact_image_endpoint,
607,stock-riftbound-arcane-box-set-origins-promos-ingles-nonfoil,Riftbound,Arcane Box Set,Origins: Promos,resolved,riot_product_cdn,https://cdn.sanity.io/images/dsfx7636/consumer_products_live/2f0e070b2ea935e916cd8fa31253791a37d3a956-2560x2560.png?accountingTag=consumer_products,manual_product_mapping,Official Riot product image for the Arcane Box Set.
608,stock-riftbound-worlds-bundle-2025-origins-promos-ingles-nonfoil,Riftbound,Worlds Bundle 2025,Origins: Promos,resolved,riot_product_cdn,https://cdn.sanity.io/images/dsfx7636/consumer_products_live/e67cae02bd6312c1e9a4b3a0eb9e70dbd3dbcd0e-2560x2560.png?accountingTag=consumer_products,manual_product_mapping,Official Riot product image for the Worlds Bundle 2025.
1550,stock-magic-the-gathering-ocelot-pride-v-1-modern-horizons-3-extras-japones-nonfoil,Magic The Gathering,Ocelot Pride (V.1),Modern Horizons 3: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Ocelot+Pride&format=image&version=normal&set=mh3,named_exact_image_endpoint,
2786,stock-magic-the-gathering-fury-modern-horizons-2-extras-ingles-nonfoil,Magic The Gathering,Fury,Modern Horizons 2: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Fury&format=image&version=normal&set=mh2,named_exact_image_endpoint,
