sourceRow,cardName,edition,tcg,language,quantity,saleValue,status,method,matchedGroupId,matchedName,matchedEdition,matchedLanguage,matchedQuantity,note
3857,Refund,Refund,Magic The Gathering,Inglés,1.0,291.7,unmatched,unmatched,,,,,,No se encontró compra compatible.
499,Zenith Chronicler,Phyrexia: All Will Be One,Magic The Gathering,Inglés,1.0,0.99,unmatched,unmatched,,,,,,No se encontró compra compatible.
500,Deathbloom Ritualist,The Brothers' War,Magic The Gathering,Español,1.0,0.99,unmatched,unmatched,,,,,,No se encontró compra compatible.
544,"Ayara, Widow of the Realm // Ayara, Furnace Queen",March of the Machine: The Aftermath,Magic The Gathering,Inglés,1.0,0.4,unmatched,unmatched,,,,,,No se encontró compra compatible.
295,"Etali, Primal Conqueror // Etali, Primal Sickness",March of the Machine: The Aftermath,Magic The Gathering,Inglés,1.0,5.24,unmatched,unmatched,,,,,,No se encontró compra compatible.
216,"Invasion of Ikoria // Zilortha, Apex of Ikoria",March of the Machine: The Aftermath,Magic The Gathering,Inglés,1.0,8.74,unmatched,unmatched,,,,,,No se encontró compra compatible.
298,Fading Hope,Innistrad: Midnight Hunt,Magic The Gathering,Español,2.0,5.18,unmatched,unmatched,,,,,,No se encontró compra compatible.
420,Tocasia's Welcome,The Brothers' War,Magic The Gathering,Español,1.0,2.17,unmatched,unmatched,,,,,,No se encontró compra compatible.
366,Phyrexian Arena,Phyrexia: All Will Be One,Magic The Gathering,Inglés,1.0,3.18,matched,flexible_name_only,stock-magic-the-gathering-phyrexian-arena-apocalypse-japones-nonfoil,Phyrexian Arena,Apocalypse,Japonés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
228,Mycosynth Lattice,The List,Magic The Gathering,Inglés,1.0,8.17,matched,flexible_name_only,stock-magic-the-gathering-mycosynth-lattice-judge-rewards-promos-ingles-nonfoil,Mycosynth Lattice,Judge Rewards Promos,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
536,Invasion of Ixalan // Belligerent Regisaur,March of the Machine: The Aftermath,Magic The Gathering,Inglés,2.0,0.53,unmatched,unmatched,,,,,,No se encontró compra compatible.
537,Dusk Legion Duelist,March of the Machine,Magic The Gathering,Inglés,1.0,0.53,unmatched,unmatched,,,,,,No se encontró compra compatible.
446,"Slicer, Hired Muscle // Slicer, High-Speed Antagonist","Universes Beyond: Warhammer 40,000",Magic The Gathering,Inglés,1.0,1.68,unmatched,unmatched,,,,,,No se encontró compra compatible.
